threads,task,scheduler,chunk,time_s
11,blur,guided,4,0.8723
12,mandelbrot,static,auto,4.4510
12,blur,static,auto,0.9401
12,mandelbrot,dynamic,1,2.3797
12,blur,dynamic,1,0.8454
12,mandelbrot,dynamic,4,2.4272
12,blur,dynamic,4,0.8747
12,mandelbrot,dynamic,16,2.3873
12,blur,dynamic,16,0.9463
12,mandelbrot,dynamic,64,2.8131
12,blur,dynamic,64,0.9303
12,mandelbrot,guided,1,3.0724
12,blur,guided,1,0.8578
12,mandelbrot,guided,4,3.3884
12,blur,guided,4,0.9344
